invoiceid,date,product name,category,quantity,total revenue,customer id
INV11632,2024-01-08,Smart Plug WiFi,Electronics,5,93.4,CUST0296
INV11927,2024-01-08,Wool Beanie Hat,Clothing,2,39.2,CUST0233
INV10455,2024-01-09,Stapler Heavy Duty,Office Supplies,2,31.66,CUST0002
INV11057,2024-01-09,Slim Fit Chinos,Clothing,3,157.47,CUST0184
INV11120,2024-01-09,Non-Stick Frying Pan 28cm,Home & Kitchen,1,37.64,CUST0014
INV11196,2024-01-09,French Press Coffee Maker,Home & Kitchen,2,60.48,CUST0094
INV11389,2024-01-09,Lip Balm SPF15 3pk,Beauty & Health,2,14.54,CUST0018
INV11529,2024-01-09,Whiteboard Markers 8pk,Office Supplies,5,60.9,CUST0031
INV11698,2024-01-09,Ballpoint Pens 50pk,Office Supplies,2,23.9,CUST0233
INV10328,2024-01-10,Hooded Sweatshirt,Clothing,2,83.74,CUST0217
INV10416,2024-01-10,Facial Sunscreen SPF50,Beauty & Health,1,18.03,CUST0155
INV10477,2024-01-10,Stapler Heavy Duty,Office Supplies,1,15.55,CUST0285
INV10837,2024-01-10,Wireless Earbuds Pro,Electronics,3,155.94,CUST0277
INV11400,2024-01-10,Digital Kitchen Scale,Home & Kitchen,1,17.68,CUST0153
INV11607,2024-01-10,Slim Fit Chinos,Clothing,2,106.32,CUST0222
INV10238,2024-01-11,Bamboo Toothbrush 4pk,Beauty & Health,1,8.15,CUST0241
INV11321,2024-01-11,Digital Kitchen Scale,Home & Kitchen,1,18.24,CUST0189
INV11550,2024-01-11,LED Desk Lamp Smart,Electronics,1,46.75,CUST0157
INV11875,2024-01-11,A4 Printer Paper 500sh,Office Supplies,1,10.27,CUST0100
INV10769,2024-01-12,Classic Cotton T-Shirt,Clothing,2,43.88,CUST0238
INV11497,2024-01-12,Zip-Up Fleece Jacket,Clothing,2,144.4,CUST0103
INV10473,2024-01-13,Classic Cotton T-Shirt,Clothing,2,38.32,CUST0293
INV11663,2024-01-13,Wireless Earbuds Pro,Electronics,2,91.64,CUST0209
INV11878,2024-01-13,Webcam 1080p HD,Electronics,1,64.61,CUST0054
INV11955,2024-01-13,Bamboo Toothbrush 4pk,Beauty & Health,3,25.83,CUST0225
INV10224,2024-01-14,Portable Charger 20000mAh,Electronics,2,55.4,CUST0212
INV10407,2024-01-14,Stainless Steel Water Bottle,Home & Kitchen,1,23.49,CUST0001
INV11022,2024-01-14,Wireless Earbuds Pro,Electronics,1,48.78,CUST0294
INV11449,2024-01-14,Ceramic Coffee Mug,Home & Kitchen,3,37.65,CUST0250
INV10026,2024-01-15,Silicone Spatula Set 3pk,Home & Kitchen,2,20.94,CUST0129
INV10124,2024-01-15,Portable Charger 20000mAh,Electronics,1,32.28,CUST0218
INV10244,2024-01-15,Running Socks 6pk,Clothing,2,30.64,CUST0105
INV10299,2024-01-15,Hooded Sweatshirt,Clothing,1,41.79,CUST0278
INV10894,2024-01-15,USB-C Hub 7-in-1,Electronics,5,170.25,CUST0175
INV11308,2024-01-15,Lip Balm SPF15 3pk,Beauty & Health,1,7.23,CUST0286
INV11345,2024-01-15,A4 Printer Paper 500sh,Office Supplies,1,10.26,CUST0155
INV11394,2024-01-15,Non-Stick Frying Pan 28cm,Home & Kitchen,4,149.4,CUST0033
INV10130,2024-01-16,Glass Storage Containers 5pk,Home & Kitchen,1,29.76,CUST0110
INV10486,2024-01-16,USB-C Hub 7-in-1,Electronics,1,35.11,CUST0162
INV10501,2024-01-16,French Press Coffee Maker,Home & Kitchen,1,29.03,CUST0280
INV10672,2024-01-16,Hooded Sweatshirt,Clothing,5,241.75,CUST0287
INV11212,2024-01-16,Mechanical Keyboard TKL,Electronics,1,83.6,CUST0127
INV11641,2024-01-16,Reusable Cotton Pads 20pk,Beauty & Health,1,10.63,CUST0223
INV10017,2024-01-17,Webcam 1080p HD,Electronics,2,110.42,CUST0162
INV10618,2024-01-17,Desk Organizer Bamboo,Office Supplies,1,24.89,CUST0217
INV10963,2024-01-17,Ceramic Coffee Mug,Home & Kitchen,1,11.89,CUST0027
INV10986,2024-01-17,A4 Printer Paper 500sh,Office Supplies,1,10.47,CUST0254
INV11019,2024-01-17,A4 Printer Paper 500sh,Office Supplies,3,30.6,CUST0263
INV10236,2024-01-18,Digital Kitchen Scale,Home & Kitchen,3,56.91,CUST0138
INV10695,2024-01-18,Bluetooth Speaker Mini,Electronics,3,113.4,CUST0070
INV11028,2024-01-18,Bluetooth Speaker Mini,Electronics,1,38.54,CUST0194
INV11463,2024-01-18,Wireless Earbuds Pro,Electronics,4,198.68,CUST0180
INV10028,2024-01-19,Smart Plug WiFi,Electronics,2,43.94,CUST0247
INV10475,2024-01-19,Ballpoint Pens 50pk,Office Supplies,2,24.32,CUST0012
INV10864,2024-01-19,Glass Storage Containers 5pk,Home & Kitchen,4,107.24,CUST0175
INV10892,2024-01-19,Lip Balm SPF15 3pk,Beauty & Health,1,7.57,CUST0227
INV10070,2024-01-20,Bluetooth Speaker Mini,Electronics,10,374.8,CUST0208
INV10195,2024-01-20,Canvas Sneakers,Clothing,1,56.98,CUST0116
INV10481,2024-01-20,Hooded Sweatshirt,Clothing,3,123.93,CUST0115
INV10796,2024-01-20,Bamboo Cutting Board,Home & Kitchen,1,22.62,CUST0132
INV10861,2024-01-20,Bluetooth Speaker Mini,Electronics,2,79.44,CUST0270
INV10866,2024-01-20,Canvas Sneakers,Clothing,2,124.92,CUST0223
INV10868,2024-01-20,Vitamin C Serum 30ml,Beauty & Health,1,24.39,CUST0278
INV11383,2024-01-20,Slim Fit Chinos,Clothing,1,52.79,CUST0212
INV11651,2024-01-20,Vitamin C Serum 30ml,Beauty & Health,1,24.4,CUST0087
INV10027,2024-01-21,A4 Printer Paper 500sh,Office Supplies,2,21.28,CUST0123
INV10395,2024-01-21,Sport Shorts,Clothing,2,53.28,CUST0297
INV11582,2024-01-21,Digital Kitchen Scale,Home & Kitchen,1,18.7,CUST0064
INV11947,2024-01-21,Essential Oil Diffuser,Beauty & Health,3,97.26,CUST0029
INV10356,2024-01-22,Hooded Sweatshirt,Clothing,1,47.74,CUST0250
INV10991,2024-01-22,Portable Charger 20000mAh,Electronics,2,61.06,CUST0207
INV11570,2024-01-22,Wool Beanie Hat,Clothing,2,35.72,CUST0077
INV11639,2024-01-22,Essential Oil Diffuser,Beauty & Health,5,160.4,CUST0149
INV11819,2024-01-22,Natural Face Moisturizer,Beauty & Health,1,19.86,CUST0093
INV11918,2024-01-22,Digital Kitchen Scale,Home & Kitchen,1,19.79,CUST0102
INV11096,2024-01-23,Wool Beanie Hat,Clothing,2,33.34,CUST0140
INV11280,2024-01-23,Sport Shorts,Clothing,1,24.02,CUST0107
INV10120,2024-01-24,Classic Cotton T-Shirt,Clothing,2,37.26,CUST0034
INV10375,2024-01-24,Natural Face Moisturizer,Beauty & Health,1,20.98,CUST0078
INV10398,2024-01-24,Mechanical Keyboard TKL,Electronics,3,286.2,CUST0024
INV10603,2024-01-24,Webcam 1080p HD,Electronics,2,118.78,CUST0174
INV11869,2024-01-24,Non-Stick Frying Pan 28cm,Home & Kitchen,1,32.78,CUST0122
INV10422,2024-01-25,Slim Fit Chinos,Clothing,1,46.62,CUST0160
INV10715,2024-01-25,Wireless Earbuds Pro,Electronics,1,47.2,CUST0154
INV10778,2024-01-25,Facial Sunscreen SPF50,Beauty & Health,4,62.72,CUST0130
INV11041,2024-01-25,Zip-Up Fleece Jacket,Clothing,4,317.56,CUST0189
INV11772,2024-01-25,Reusable Cotton Pads 20pk,Beauty & Health,1,10.45,CUST0167
INV11928,2024-01-25,Reusable Cotton Pads 20pk,Beauty & Health,2,24.64,CUST0070
INV10559,2024-01-26,Sport Shorts,Clothing,4,101.96,CUST0037
INV10561,2024-01-26,Ballpoint Pens 50pk,Office Supplies,2,27.1,CUST0167
INV10948,2024-01-26,Smart Plug WiFi,Electronics,1,21.28,CUST0251
INV10973,2024-01-26,Facial Sunscreen SPF50,Beauty & Health,2,31.76,CUST0222
INV11047,2024-01-26,Lip Balm SPF15 3pk,Beauty & Health,2,16.28,CUST0165
INV11117,2024-01-27,Bamboo Cutting Board,Home & Kitchen,5,118.35,CUST0064
INV11238,2024-01-27,Facial Sunscreen SPF50,Beauty & Health,1,16.36,CUST0254
INV11289,2024-01-27,File Folders 100pk,Office Supplies,3,55.08,CUST0159
INV11399,2024-01-27,Classic Cotton T-Shirt,Clothing,3,60.27,CUST0154
INV11473,2024-01-27,Whiteboard Markers 8pk,Office Supplies,5,57.7,CUST0274
INV11510,2024-01-27,Running Socks 6pk,Clothing,1,16.12,CUST0063
INV11847,2024-01-27,Sport Shorts,Clothing,2,50.56,CUST0216
INV10627,2024-01-28,Sport Shorts,Clothing,1,26.8,CUST0264
INV10740,2024-01-28,Essential Oil Diffuser,Beauty & Health,1,34.76,CUST0126
INV10978,2024-01-28,LED Desk Lamp Smart,Electronics,1,46.91,CUST0030
INV11439,2024-01-28,Non-Stick Frying Pan 28cm,Home & Kitchen,2,72.28,CUST0006
INV11453,2024-01-28,Stainless Steel Water Bottle,Home & Kitchen,1,22.33,CUST0158
INV10373,2024-01-29,Non-Stick Frying Pan 28cm,Home & Kitchen,1,33.75,CUST0161
INV10585,2024-01-29,Sticky Notes Pack 12,Office Supplies,3,27.81,CUST0033
INV10876,2024-01-29,Stainless Steel Water Bottle,Home & Kitchen,2,48.04,CUST0246
INV11071,2024-01-29,Sport Shorts,Clothing,1,22.54,CUST0250
INV11086,2024-01-29,Ballpoint Pens 50pk,Office Supplies,1,12.17,CUST0153
INV10065,2024-01-30,Stainless Steel Water Bottle,Home & Kitchen,2,41.66,CUST0206
INV11030,2024-01-30,Ceramic Coffee Mug,Home & Kitchen,4,52.28,CUST0284
INV11769,2024-01-30,Scissors Stainless Steel,Office Supplies,1,7.83,CUST0111
INV11901,2024-01-30,Sport Shorts,Clothing,1,25.71,CUST0055
INV10015,2024-01-31,Classic Cotton T-Shirt,Clothing,5,92.4,CUST0076
INV10650,2024-01-31,Stapler Heavy Duty,Office Supplies,2,36.28,CUST0168
INV10751,2024-01-31,Webcam 1080p HD,Electronics,1,65.36,CUST0067
INV11917,2024-01-31,Mechanical Keyboard TKL,Electronics,1,88.91,CUST0149
INV10036,2024-02-01,Wireless Earbuds Pro,Electronics,1,54.11,CUST0069
INV10734,2024-02-01,Hooded Sweatshirt,Clothing,1,41.65,CUST0242
INV10839,2024-02-01,Essential Oil Diffuser,Beauty & Health,1,34.89,CUST0122
INV10971,2024-02-01,Vitamin D3 Supplements,Beauty & Health,2,28.82,CUST0117
INV11125,2024-02-01,Stainless Steel Water Bottle,Home & Kitchen,1,21.73,CUST0021
INV11501,2024-02-01,Webcam 1080p HD,Electronics,4,225.36,CUST0153
INV11572,2024-02-01,Essential Oil Diffuser,Beauty & Health,3,107.52,CUST0253
INV10117,2024-02-02,Sticky Notes Pack 12,Office Supplies,3,24.39,CUST0112
INV10491,2024-02-02,Glass Storage Containers 5pk,Home & Kitchen,1,25.25,CUST0263
INV10875,2024-02-02,Bamboo Toothbrush 4pk,Beauty & Health,2,17.9,CUST0073
INV11070,2024-02-02,Glass Storage Containers 5pk,Home & Kitchen,1,25.46,CUST0134
INV11246,2024-02-02,A4 Printer Paper 500sh,Office Supplies,3,29.88,CUST0073
INV10393,2024-02-03,Mechanical Keyboard TKL,Electronics,1,89.01,CUST0048
INV10607,2024-02-03,Non-Stick Frying Pan 28cm,Home & Kitchen,2,76.74,CUST0249
INV10771,2024-02-03,Bamboo Toothbrush 4pk,Beauty & Health,1,9.7,CUST0040
INV10317,2024-02-04,Bamboo Toothbrush 4pk,Beauty & Health,2,18.4,CUST0150
INV10704,2024-02-04,Mechanical Keyboard TKL,Electronics,1,88.88,CUST0088
INV10806,2024-02-04,Ballpoint Pens 50pk,Office Supplies,1,12.06,CUST0211
INV10857,2024-02-04,Essential Oil Diffuser,Beauty & Health,1,29.88,CUST0051
INV11292,2024-02-04,Classic Cotton T-Shirt,Clothing,1,21.2,CUST0052
INV11413,2024-02-04,Bamboo Cutting Board,Home & Kitchen,2,40.92,CUST0053
INV11920,2024-02-04,Wireless Earbuds Pro,Electronics,1,46.42,CUST0297
INV11136,2024-02-05,Silicone Spatula Set 3pk,Home & Kitchen,1,10.49,CUST0297
INV11540,2024-02-05,Stapler Heavy Duty,Office Supplies,1,16.49,CUST0095
INV10035,2024-02-06,LED Desk Lamp Smart,Electronics,1,42.47,CUST0179
INV10076,2024-02-06,Non-Stick Frying Pan 28cm,Home & Kitchen,1,34.84,CUST0231
INV10470,2024-02-06,Glass Storage Containers 5pk,Home & Kitchen,1,30.08,CUST0047
INV11304,2024-02-06,Vitamin C Serum 30ml,Beauty & Health,1,26.0,CUST0285
INV11543,2024-02-06,Canvas Sneakers,Clothing,1,59.94,CUST0270
INV10492,2024-02-07,Bluetooth Speaker Mini,Electronics,1,38.14,CUST0022
INV10516,2024-02-07,Vitamin C Serum 30ml,Beauty & Health,1,26.73,CUST0135
INV10827,2024-02-07,Natural Face Moisturizer,Beauty & Health,1,21.1,CUST0145
INV10844,2024-02-07,Smart Plug WiFi,Electronics,1,19.34,CUST0068
INV10949,2024-02-07,Desk Organizer Bamboo,Office Supplies,2,49.42,CUST0025
INV11155,2024-02-07,Whiteboard Markers 8pk,Office Supplies,3,37.89,CUST0238
INV11472,2024-02-07,Natural Face Moisturizer,Beauty & Health,2,41.18,CUST0233
INV11636,2024-02-07,A4 Printer Paper 500sh,Office Supplies,1,10.67,CUST0231
INV11838,2024-02-07,Wireless Earbuds Pro,Electronics,3,143.43,CUST0070
INV10300,2024-02-08,Zip-Up Fleece Jacket,Clothing,2,156.08,CUST0099
INV10468,2024-02-08,Non-Stick Frying Pan 28cm,Home & Kitchen,2,74.1,CUST0100
INV10941,2024-02-08,Classic Cotton T-Shirt,Clothing,1,19.87,CUST0177
INV11298,2024-02-08,Whiteboard Markers 8pk,Office Supplies,5,61.35,CUST0004
INV11334,2024-02-08,Stainless Steel Water Bottle,Home & Kitchen,3,69.69,CUST0063
INV11807,2024-02-08,Natural Face Moisturizer,Beauty & Health,1,18.38,CUST0027
INV11864,2024-02-08,Non-Stick Frying Pan 28cm,Home & Kitchen,2,68.0,CUST0187
INV11867,2024-02-08,Silicone Spatula Set 3pk,Home & Kitchen,2,21.58,CUST0090
INV10368,2024-02-09,Essential Oil Diffuser,Beauty & Health,10,306.6,CUST0129
INV10634,2024-02-09,Glass Storage Containers 5pk,Home & Kitchen,2,58.44,CUST0282
INV10671,2024-02-09,Facial Sunscreen SPF50,Beauty & Health,1,15.73,CUST0082
INV10871,2024-02-09,Silicone Spatula Set 3pk,Home & Kitchen,1,9.91,CUST0277
INV11048,2024-02-09,Non-Stick Frying Pan 28cm,Home & Kitchen,2,67.72,CUST0192
INV11085,2024-02-09,Canvas Sneakers,Clothing,2,129.48,CUST0239
INV10214,2024-02-10,Wireless Earbuds Pro,Electronics,1,46.85,CUST0221
INV10411,2024-02-10,Wireless Earbuds Pro,Electronics,1,47.72,CUST0181
INV10413,2024-02-10,Stainless Steel Water Bottle,Home & Kitchen,2,50.04,CUST0140
INV11077,2024-02-10,Whiteboard Markers 8pk,Office Supplies,3,32.67,CUST0124
INV11638,2024-02-10,Bamboo Cutting Board,Home & Kitchen,2,46.86,CUST0132
INV11801,2024-02-10,Bamboo Toothbrush 4pk,Beauty & Health,1,9.26,CUST0142
INV10252,2024-02-11,Scissors Stainless Steel,Office Supplies,1,7.25,CUST0291
INV11973,2024-02-11,Bamboo Cutting Board,Home & Kitchen,1,20.55,CUST0051
INV10662,2024-02-12,A4 Printer Paper 500sh,Office Supplies,1,10.25,CUST0279
INV11004,2024-02-12,Running Socks 6pk,Clothing,1,16.33,CUST0109
INV11291,2024-02-12,Portable Charger 20000mAh,Electronics,2,55.24,CUST0234
INV11427,2024-02-12,Bamboo Toothbrush 4pk,Beauty & Health,1,8.39,CUST0231
INV11541,2024-02-12,Slim Fit Chinos,Clothing,1,52.34,CUST0236
INV11688,2024-02-12,Facial Sunscreen SPF50,Beauty & Health,1,17.42,CUST0209
INV10432,2024-02-13,Running Socks 6pk,Clothing,1,16.42,CUST0180
INV11032,2024-02-13,USB-C Hub 7-in-1,Electronics,1,38.41,CUST0053
INV11584,2024-02-13,Desk Organizer Bamboo,Office Supplies,2,50.7,CUST0099
INV11605,2024-02-13,Reusable Cotton Pads 20pk,Beauty & Health,1,12.2,CUST0231
INV11357,2024-02-14,Silicone Spatula Set 3pk,Home & Kitchen,2,21.1,CUST0199
INV11517,2024-02-14,Bamboo Cutting Board,Home & Kitchen,3,69.24,CUST0049
INV10779,2024-02-15,Running Socks 6pk,Clothing,1,14.17,CUST0145
INV10993,2024-02-15,Mechanical Keyboard TKL,Electronics,3,255.39,CUST0154
INV11118,2024-02-16,USB-C Hub 7-in-1,Electronics,4,132.16,CUST0281
INV11214,2024-02-16,Zip-Up Fleece Jacket,Clothing,2,144.16,CUST0127
INV11263,2024-02-16,Bamboo Cutting Board,Home & Kitchen,2,45.28,CUST0020
INV11631,2024-02-16,Vitamin C Serum 30ml,Beauty & Health,10,227.4,CUST0062
INV11722,2024-02-16,Canvas Sneakers,Clothing,1,57.05,CUST0178
INV11956,2024-02-16,Canvas Sneakers,Clothing,5,328.7,CUST0095
INV11272,2024-02-17,French Press Coffee Maker,Home & Kitchen,2,62.32,CUST0034
INV11314,2024-02-17,A4 Printer Paper 500sh,Office Supplies,4,43.0,CUST0117
INV11797,2024-02-17,Vitamin C Serum 30ml,Beauty & Health,1,25.71,CUST0112
INV10155,2024-02-18,LED Desk Lamp Smart,Electronics,2,94.76,CUST0054
INV11432,2024-02-18,USB-C Hub 7-in-1,Electronics,2,73.3,CUST0195
INV10293,2024-02-19,Lip Balm SPF15 3pk,Beauty & Health,1,7.68,CUST0198
INV10467,2024-02-19,Ceramic Coffee Mug,Home & Kitchen,1,14.08,CUST0260
INV10813,2024-02-19,Wool Beanie Hat,Clothing,1,17.58,CUST0092
INV11798,2024-02-19,Ballpoint Pens 50pk,Office Supplies,2,27.1,CUST0109
INV11980,2024-02-19,Stainless Steel Water Bottle,Home & Kitchen,2,49.2,CUST0244
INV10163,2024-02-20,French Press Coffee Maker,Home & Kitchen,5,157.55,CUST0007
INV10344,2024-02-20,Bamboo Cutting Board,Home & Kitchen,1,22.41,CUST0233
INV10570,2024-02-20,Vitamin C Serum 30ml,Beauty & Health,1,27.01,CUST0095
INV10912,2024-02-20,Silicone Spatula Set 3pk,Home & Kitchen,1,10.03,CUST0293
INV11522,2024-02-20,Desk Organizer Bamboo,Office Supplies,1,25.54,CUST0095
INV11551,2024-02-20,Reusable Cotton Pads 20pk,Beauty & Health,3,33.96,CUST0201
INV10143,2024-02-21,Webcam 1080p HD,Electronics,1,60.2,CUST0138
INV10221,2024-02-21,Canvas Sneakers,Clothing,1,61.48,CUST0236
INV10566,2024-02-21,Bamboo Cutting Board,Home & Kitchen,1,20.6,CUST0006
INV10622,2024-02-21,French Press Coffee Maker,Home & Kitchen,1,28.4,CUST0060
INV10974,2024-02-21,Lip Balm SPF15 3pk,Beauty & Health,1,8.78,CUST0193
INV11700,2024-02-21,Stapler Heavy Duty,Office Supplies,1,17.98,CUST0040
INV10105,2024-02-22,Wireless Earbuds Pro,Electronics,2,90.04,CUST0078
INV10254,2024-02-22,Bamboo Toothbrush 4pk,Beauty & Health,1,9.38,CUST0035
INV10471,2024-02-22,Running Socks 6pk,Clothing,3,46.32,CUST0031
INV10562,2024-02-22,Slim Fit Chinos,Clothing,3,161.31,CUST0275
INV10589,2024-02-22,Reusable Cotton Pads 20pk,Beauty & Health,3,37.86,CUST0072
INV11009,2024-02-22,Canvas Sneakers,Clothing,2,120.16,CUST0114
INV11561,2024-02-22,Zip-Up Fleece Jacket,Clothing,1,73.68,CUST0276
INV10217,2024-02-23,Sport Shorts,Clothing,1,26.33,CUST0298
INV11531,2024-02-23,Portable Charger 20000mAh,Electronics,1,29.5,CUST0155
INV11758,2024-02-23,Webcam 1080p HD,Electronics,1,59.65,CUST0079
INV10677,2024-02-24,Silicone Spatula Set 3pk,Home & Kitchen,1,9.97,CUST0300
INV11677,2024-02-24,Canvas Sneakers,Clothing,2,110.72,CUST0128
INV10197,2024-02-25,Lip Balm SPF15 3pk,Beauty & Health,2,15.52,CUST0014
INV10805,2024-02-25,French Press Coffee Maker,Home & Kitchen,4,109.72,CUST0010
INV10852,2024-02-25,Stapler Heavy Duty,Office Supplies,2,30.74,CUST0087
INV10896,2024-02-25,Bamboo Toothbrush 4pk,Beauty & Health,2,16.46,CUST0189
INV11185,2024-02-25,Mechanical Keyboard TKL,Electronics,1,82.57,CUST0106
INV11197,2024-02-25,French Press Coffee Maker,Home & Kitchen,1,30.2,CUST0218
INV11232,2024-02-25,Essential Oil Diffuser,Beauty & Health,1,30.54,CUST0127
INV11240,2024-02-25,Natural Face Moisturizer,Beauty & Health,2,42.26,CUST0285
INV11717,2024-02-25,Silicone Spatula Set 3pk,Home & Kitchen,1,9.8,CUST0024
INV11756,2024-02-25,Webcam 1080p HD,Electronics,1,60.38,CUST0265
INV11824,2024-02-25,Webcam 1080p HD,Electronics,1,57.83,CUST0032
INV10161,2024-02-26,Lip Balm SPF15 3pk,Beauty & Health,2,14.66,CUST0068
INV10401,2024-02-26,File Folders 100pk,Office Supplies,2,41.46,CUST0249
INV10810,2024-02-26,Hooded Sweatshirt,Clothing,1,41.08,CUST0173
INV11142,2024-02-26,Wireless Earbuds Pro,Electronics,1,53.93,CUST0096
INV11618,2024-02-26,Running Socks 6pk,Clothing,2,29.94,CUST0078
INV10113,2024-02-27,Vitamin D3 Supplements,Beauty & Health,1,14.09,CUST0088
INV11739,2024-02-27,Stainless Steel Water Bottle,Home & Kitchen,1,24.09,CUST0248
INV10212,2024-02-28,Whiteboard Markers 8pk,Office Supplies,3,34.53,CUST0223
INV11083,2024-02-28,Bamboo Toothbrush 4pk,Beauty & Health,1,9.62,CUST0265
INV11490,2024-02-28,Bamboo Toothbrush 4pk,Beauty & Health,1,8.34,CUST0088
INV11935,2024-02-28,Mechanical Keyboard TKL,Electronics,10,863.2,CUST0205
INV10074,2024-02-29,Silicone Spatula Set 3pk,Home & Kitchen,2,19.3,CUST0273
INV10176,2024-02-29,French Press Coffee Maker,Home & Kitchen,1,32.31,CUST0052
INV10459,2024-02-29,Bamboo Toothbrush 4pk,Beauty & Health,2,17.88,CUST0223
INV10563,2024-02-29,Sticky Notes Pack 12,Office Supplies,1,8.52,CUST0281
INV10889,2024-02-29,Wireless Earbuds Pro,Electronics,1,52.81,CUST0021
INV11576,2024-02-29,Bluetooth Speaker Mini,Electronics,2,77.1,CUST0043
INV11580,2024-02-29,Stainless Steel Water Bottle,Home & Kitchen,2,50.44,CUST0071
INV11625,2024-02-29,Silicone Spatula Set 3pk,Home & Kitchen,5,52.25,CUST0273
INV11795,2024-02-29,French Press Coffee Maker,Home & Kitchen,5,143.35,CUST0286
INV11942,2024-02-29,Ballpoint Pens 50pk,Office Supplies,1,11.4,CUST0141
INV10744,2024-03-01,Essential Oil Diffuser,Beauty & Health,1,34.53,CUST0155
INV11438,2024-03-01,Classic Cotton T-Shirt,Clothing,3,64.95,CUST0137
INV11765,2024-03-01,USB-C Hub 7-in-1,Electronics,1,33.58,CUST0055
INV11149,2024-03-02,USB-C Hub 7-in-1,Electronics,1,32.09,CUST0126
INV11183,2024-03-02,Whiteboard Markers 8pk,Office Supplies,2,25.24,CUST0191
INV11896,2024-03-02,USB-C Hub 7-in-1,Electronics,1,36.47,CUST0194
INV10209,2024-03-03,Facial Sunscreen SPF50,Beauty & Health,2,34.14,CUST0285
INV10292,2024-03-03,Zip-Up Fleece Jacket,Clothing,4,292.0,CUST0211
INV11006,2024-03-03,Essential Oil Diffuser,Beauty & Health,1,34.21,CUST0080
INV11198,2024-03-03,Hooded Sweatshirt,Clothing,4,169.04,CUST0180
